27-Dec-2023 21:29:02 - num of feature = 2308
27-Dec-2023 21:34:34 - iter: 61/70 time: 1.1147s fit: 0.031814
27-Dec-2023 21:34:35 - iter: 62/70 time: 1.1279s fit: 0.031332
27-Dec-2023 21:34:36 - iter: 63/70 time: 1.1172s fit: 0.029984
27-Dec-2023 21:34:37 - iter: 64/70 time: 1.1062s fit: 0.028307
27-Dec-2023 21:34:38 - iter: 65/70 time: 1.1433s fit: 0.029642
27-Dec-2023 21:34:39 - iter: 66/70 time: 1.1214s fit: 0.031966
27-Dec-2023 21:34:40 - iter: 67/70 time: 1.1338s fit: 0.033844
27-Dec-2023 21:34:41 - iter: 68/70 time: 1.1352s fit: 0.035898
27-Dec-2023 21:34:43 - iter: 69/70 time: 1.175s fit: 0.032961
27-Dec-2023 21:34:44 - iter: 70/70 time: 1.1507s fit: 0.032851
27-Dec-2023 21:34:46 - round1/1 fold4/10 - time:85.606s train_acc:1 test_acc:1 size:40
27-Dec-2023 21:34:50 - iter: 1/70 time: 1.5136s fit: 0.10039
27-Dec-2023 21:34:51 - iter: 2/70 time: 1.2113s fit: 0.091277
27-Dec-2023 21:34:53 - iter: 3/70 time: 1.1951s fit: 0.085213
27-Dec-2023 21:34:54 - iter: 4/70 time: 1.1654s fit: 0.076191
27-Dec-2023 21:34:55 - iter: 5/70 time: 1.1365s fit: 0.069606
27-Dec-2023 21:34:56 - iter: 6/70 time: 1.1308s fit: 0.058669
27-Dec-2023 21:34:57 - iter: 7/70 time: 1.1278s fit: 0.055783
27-Dec-2023 21:34:58 - iter: 8/70 time: 1.1211s fit: 0.049359
27-Dec-2023 21:34:59 - iter: 9/70 time: 1.1382s fit: 0.046526
27-Dec-2023 21:35:01 - iter: 10/70 time: 1.2875s fit: 0.041516
27-Dec-2023 21:35:02 - iter: 11/70 time: 1.1413s fit: 0.043222
27-Dec-2023 21:35:03 - iter: 12/70 time: 1.1476s fit: 0.041724
27-Dec-2023 21:35:04 - iter: 13/70 time: 1.1113s fit: 0.04019
27-Dec-2023 21:35:05 - iter: 14/70 time: 1.1112s fit: 0.03851
27-Dec-2023 21:35:06 - iter: 15/70 time: 1.1289s fit: 0.036148
27-Dec-2023 21:35:07 - iter: 16/70 time: 1.1299s fit: 0.034178
27-Dec-2023 21:35:09 - iter: 17/70 time: 1.1096s fit: 0.036321
27-Dec-2023 21:35:10 - iter: 18/70 time: 1.1034s fit: 0.033681
27-Dec-2023 21:35:11 - iter: 19/70 time: 1.1526s fit: 0.031523
27-Dec-2023 21:35:12 - iter: 20/70 time: 1.1119s fit: 0.031035
27-Dec-2023 21:35:13 - iter: 21/70 time: 1.121s fit: 0.032589
27-Dec-2023 21:35:14 - iter: 22/70 time: 1.1363s fit: 0.031533
27-Dec-2023 21:35:15 - iter: 23/70 time: 1.1055s fit: 0.029603
27-Dec-2023 21:35:16 - iter: 24/70 time: 1.1152s fit: 0.027898
27-Dec-2023 21:35:18 - iter: 25/70 time: 1.1094s fit: 0.028761
27-Dec-2023 21:35:19 - iter: 26/70 time: 1.111s fit: 0.027709
27-Dec-2023 21:35:20 - iter: 27/70 time: 1.1292s fit: 0.029434
27-Dec-2023 21:35:21 - iter: 28/70 time: 1.121s fit: 0.027665
27-Dec-2023 21:35:22 - iter: 29/70 time: 1.0988s fit: 0.028153
27-Dec-2023 21:35:23 - iter: 30/70 time: 1.138s fit: 0.025251
27-Dec-2023 21:35:24 - iter: 31/70 time: 1.1082s fit: 0.024363
27-Dec-2023 21:35:25 - iter: 32/70 time: 1.1175s fit: 0.022488
27-Dec-2023 21:35:26 - iter: 33/70 time: 1.1455s fit: 0.020842
27-Dec-2023 21:35:28 - iter: 34/70 time: 1.1163s fit: 0.022199
27-Dec-2023 21:35:29 - iter: 35/70 time: 1.1233s fit: 0.024352
27-Dec-2023 21:35:30 - iter: 36/70 time: 1.1115s fit: 0.022068
27-Dec-2023 21:35:31 - iter: 37/70 time: 1.128s fit: 0.021331
27-Dec-2023 21:35:32 - iter: 38/70 time: 1.1491s fit: 0.020747
27-Dec-2023 21:35:33 - iter: 39/70 time: 1.1044s fit: 0.019301
27-Dec-2023 21:35:34 - iter: 40/70 time: 1.1245s fit: 0.019287
27-Dec-2023 21:35:35 - iter: 41/70 time: 1.1212s fit: 0.020182
27-Dec-2023 21:35:37 - iter: 42/70 time: 1.1075s fit: 0.019
